,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,home.dest
112,3,0.0,female,3.0,1,1,SOTON/O.Q. 3101315,13.775,,S,,
113,3,0.0,female,26.0,0,2,SOTON/O.Q. 3101315,13.775,,S,,
114,3,0.0,male,,0,0,343271,7.0,,S,,
115,3,0.0,male,,0,0,345498,7.775,,S,,
116,3,0.0,male,,0,0,A/5 2817,8.05,,S,,
117,3,0.0,male,21.0,0,0,STON/O 2. 3101294,7.925,,S,,
118,3,0.0,male,25.0,0,0,STON/O 2. 3101291,7.925,,S,,
119,3,0.0,male,22.0,0,0,A/5 21174,7.25,,S,,
120,3,1.0,male,25.0,1,0,347083,7.775,,S,15,
121,3,1.0,male,,1,1,2668,22.3583,,C,C,
122,3,1.0,female,,1,1,2668,22.3583,F E69,C,D,
123,3,1.0,female,,0,2,2668,22.3583,,C,D,
124,3,0.0,female,,0,0,330935,8.1375,,Q,,
125,3,0.0,male,24.0,0,0,342441,8.05,,S,,
126,3,0.0,female,28.0,0,0,349245,7.8958,,S,,
127,3,0.0,male,19.0,0,0,349212,7.8958,,S,,
128,3,0.0,male,,0,0,349215,7.8958,,S,,
129,3,0.0,male,25.0,1,0,347076,7.775,,S,,
130,3,0.0,female,18.0,0,0,347087,7.775,,S,,
131,3,1.0,male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S,9,
132,3,0.0,male,,0,0,349227,7.8958,,S,,
133,3,0.0,male,17.0,0,0,315095,8.6625,,S,,
134,3,0.0,male,24.0,0,0,315092,8.6625,,S,,
135,3,0.0,male,,0,0,349223,7.8958,,S,,
136,3,0.0,female,,0,0,65305,8.1125,,S,,
137,3,0.0,male,,0,0,2629,7.2292,,C,,
138,3,0.0,male,,0,0,362316,7.25,,S,,
139,3,0.0,male,38.0,0,0,349249,7.8958,,S,,
140,3,0.0,male,21.0,0,0,342684,8.05,,S,,
141,3,0.0,male,10.0,4,1,382652,29.125,,Q,,
142,3,0.0,male,4.0,4,1,382652,29.125,,Q,,
143,3,0.0,male,7.0,4,1,382652,29.125,,Q,,
144,3,0.0,male,2.0,4,1,382652,29.125,,Q,,
145,3,0.0,male,8.0,4,1,382652,29.125,,Q,,
146,3,0.0,female,39.0,0,5,382652,29.125,,Q,,
147,3,1.0,female,22.0,0,0,3101295,39.6875,,S,,
148,3,0.0,male,35.0,0,0,STON/O 2. 3101273,7.125,,S,,
149,3,1.0,female,,0,0,334915,7.7208,,Q,13,
150,3,0.0,male,,0,0,364498,14.5,,S,,
151,3,0.0,female,,0,0,364498,14.5,,S,,
152,3,0.0,male,50.0,1,0,A/5. 3337,14.5,,S,,
153,3,0.0,female,47.0,1,0,A/5. 3337,14.5,,S,,
154,3,0.0,male,,0,0,S.C./A.4. 23567,8.05,,S,,
155,3,0.0,male,,0,0,312993,7.775,,S,,
156,3,0.0,female,2.0,1,1,370129,20.2125,,S,,
157,3,0.0,male,18.0,1,1,370129,20.2125,,S,,
158,3,0.0,female,41.0,0,2,370129,20.2125,,S,,
159,3,1.0,female,,0,0,342712,8.05,,S,C,
160,3,0.0,male,50.0,0,0,A/5 3594,8.05,,S,,
161,3,0.0,male,16.0,0,0,A/4. 20589,8.05,,S,,
162,3,1.0,male,,0,0,383162,7.75,,Q,14,
163,3,0.0,male,,0,0,371110,24.15,,Q,,
164,3,0.0,male,,0,0,2671,7.2292,,C,,
165,3,0.0,male,25.0,0,0,2672,7.225,,C,,
166,3,0.0,male,,0,0,2676,7.225,,C,,
167,3,0.0,male,,0,0,367655,7.7292,,Q,,
168,3,0.0,male,,0,0,LP 1588,7.575,,S,,
169,3,0.0,male,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S,,
170,3,0.0,male,,8,2,CA. 2343,69.55,,S,,
171,3,0.0,male,14.5,8,2,CA. 2343,69.55,,S,,
172,3,1.0,female,,8,2,CA. 2343,69.55,,S,,
173,3,1.0,female,,8,2,CA. 2343,69.55,,S,,
174,3,1.0,female,,8,2,CA. 2343,69.55,,S,,
175,3,1.0,female,,8,2,CA. 2343,69.55,,S,,
176,3,0.0,male,,8,2,CA. 2343,69.55,,S,,
177,3,0.0,male,,8,2,CA. 2343,69.55,,S,,
178,3,0.0,male,,8,2,CA. 2343,69.55,,S,,
179,3,0.0,male,,1,9,CA. 2343,69.55,,S,,
180,3,1.0,female,,1,9,CA. 2343,69.55,,S,,
181,3,0.0,male,24.0,0,0,7266,9.325,,S,,
182,3,1.0,female,21.0,0,0,343120,7.65,,S,C,
183,3,0.0,male,39.0,0,0,3101296,7.925,,S,,
184,3,0.0,male,,2,0,2662,21.6792,,C,,
185,3,0.0,male,,2,0,2662,21.6792,,C,,
186,3,0.0,male,,2,0,2662,21.6792,,C,,
187,3,1.0,female,1.0,1,1,PP 9549,16.7,G6,S,13,
188,3,1.0,female,24.0,0,2,PP 9549,16.7,G6,S,13,
189,3,1.0,female,4.0,1,1,PP 9549,16.7,G6,S,13,
190,3,1.0,male,25.0,0,0,345768,9.5,,S,11,
191,3,0.0,male,20.0,0,0,A/5. 2151,8.05,,S,,
192,3,0.0,male,24.5,0,0,342826,8.05,,S,,
193,3,0.0,male,,0,0,36209,7.725,,Q,,
194,3,0.0,male,,0,0,349222,7.8958,,S,,
195,3,0.0,male,,0,0,370374,7.75,,Q,,
196,3,1.0,male,29.0,0,0,345779,9.5,,S,11,
197,3,0.0,male,,0,0,C.A. 6212,15.1,,S,,
198,3,0.0,female,,0,0,330968,7.7792,,Q,,
199,3,0.0,male,,0,0,374910,8.05,,S,,
200,3,0.0,male,,0,0,SOTON/OQ 392082,8.05,,S,,
201,3,0.0,male,22.0,0,0,2669,7.2292,,C,,
202,3,0.0,male,,0,0,392092,8.05,,S,,
203,3,0.0,male,40.0,0,0,349251,7.8958,,S,,
204,3,0.0,male,21.0,0,0,STON/O 2. 3101280,7.925,,S,,
205,3,1.0,female,18.0,0,0,3101265,7.4958,,S,16,
206,3,0.0,male,4.0,3,2,347088,27.9,,S,,
207,3,0.0,male,10.0,3,2,347088,27.9,,S,,
208,3,0.0,female,9.0,3,2,347088,27.9,,S,,
209,3,0.0,female,2.0,3,2,347088,27.9,,S,,
210,3,0.0,male,40.0,1,4,347088,27.9,,S,,
211,3,0.0,female,45.0,1,4,347088,27.9,,S,,
212,3,0.0,male,,0,0,349214,7.8958,,S,,
213,3,0.0,male,,0,0,SOTON/OQ 392086,8.05,,S,,
214,3,0.0,male,,0,0,315037,8.6625,,S,,
215,3,0.0,male,,0,0,384461,7.75,,Q,,
216,3,1.0,female,,0,0,335432,7.7333,,Q,13,
217,3,0.0,male,19.0,0,0,348124,7.65,F G73,S,,
218,3,0.0,male,30.0,0,0,A.5. 18509,8.05,,S,,
219,3,0.0,male,,0,0,A.5. 3236,8.05,,S,,
220,3,0.0,male,32.0,0,0,STON/OQ. 369943,8.05,,S,,
221,3,0.0,male,,0,0,349208,7.8958,,S,,
222,3,0.0,male,33.0,0,0,349239,8.6625,,C,,
223,3,1.0,female,23.0,0,0,CA. 2314,7.55,,S,C,
224,3,0.0,male,21.0,0,0,A/4 45380,8.05,,S,,
225,3,0.0,male,60.5,0,0,3701,,,S,,
226,3,0.0,male,19.0,0,0,349205,7.8958,,S,,
227,3,0.0,female,22.0,0,0,7553,9.8375,,S,,
228,3,1.0,male,31.0,0,0,STON/O 2. 3101288,7.925,,S,9,
229,3,0.0,male,27.0,0,0,315083,8.6625,,S,,
230,3,0.0,female,2.0,0,1,347054,10.4625,G6,S,,
231,3,0.0,female,29.0,1,1,347054,10.4625,G6,S,,
232,3,1.0,male,16.0,0,0,SOTON/OQ 392089,8.05,,S,B,
233,3,1.0,male,44.0,0,0,STON/O 2. 3101269,7.925,,S,15,
234,3,0.0,male,25.0,0,0,SOTON/OQ 392076,7.05,,S,,
235,3,0.0,male,74.0,0,0,347060,7.775,,S,,
236,3,1.0,male,14.0,0,0,7538,9.225,,S,13,
237,3,0.0,male,24.0,0,0,350035,7.7958,,S,,
238,3,1.0,male,25.0,0,0,350033,7.7958,,S,13 15,
239,3,0.0,male,34.0,0,0,363294,8.05,,S,,
240,3,1.0,male,0.4167,0,1,2625,8.5167,,C,16,
241,3,0.0,male,,1,0,2621,6.4375,,C,,
242,3,0.0,male,,0,0,2681,6.4375,,C,,
243,3,0.0,male,,0,0,2684,7.225,,C,,
244,3,1.0,female,16.0,1,1,2625,8.5167,,C,14,
245,3,0.0,male,,0,0,32302,8.05,,S,,
246,3,0.0,male,,1,0,376564,16.1,,S,,
247,3,1.0,female,,1,0,376564,16.1,,S,10,
248,3,0.0,male,32.0,0,0,STON/O 2. 3101293,7.925,,S,,
249,3,0.0,male,,0,0,383121,7.75,F38,Q,,
250,3,0.0,male,,0,0,349216,7.8958,,S,,
251,3,0.0,male,30.5,0,0,364499,8.05,,S,,
252,3,0.0,male,44.0,0,0,364511,8.05,,S,,
253,3,0.0,male,,0,0,2673,7.2292,,C,,
254,3,1.0,male,25.0,0,0,LINE,0.0,,S,15,
255,3,0.0,male,,0,0,2641,7.2292,,C,,
256,3,1.0,male,7.0,1,1,2650,15.2458,,C,C,
257,3,1.0,female,9.0,1,1,2650,15.2458,,C,C,
258,3,1.0,female,29.0,0,2,2650,15.2458,,C,C,
259,3,0.0,male,36.0,0,0,349247,7.8958,,S,,
260,3,1.0,female,18.0,0,0,4138,9.8417,,S,15,
261,3,1.0,female,63.0,0,0,4134,9.5875,,S,15,
262,3,0.0,male,,1,1,A/5. 851,14.5,,S,,
263,3,0.0,male,11.5,1,1,A/5. 851,14.5,,S,,
264,3,0.0,male,40.5,0,2,A/5. 851,14.5,,S,,
265,3,0.0,female,10.0,0,2,345773,24.15,,S,,
266,3,0.0,male,36.0,1,1,345773,24.15,,S,,
267,3,0.0,female,30.0,1,1,345773,24.15,,S,,
268,3,0.0,male,,0,0,345777,9.5,,S,,
269,3,0.0,male,33.0,0,0,345780,9.5,,S,,
270,3,0.0,male,28.0,0,0,345770,9.5,,S,,
271,3,0.0,male,28.0,0,0,345783,9.5,,S,,
272,3,0.0,male,47.0,0,0,345765,9.0,,S,,
273,3,0.0,female,18.0,2,0,345764,18.0,,S,,
274,3,0.0,male,31.0,3,0,345763,18.0,,S,,
275,3,0.0,male,16.0,2,0,345764,18.0,,S,,
276,3,0.0,female,31.0,1,0,345763,18.0,,S,,
277,3,1.0,male,22.0,0,0,2658,7.225,,C,13 15,
278,3,0.0,male,20.0,0,0,350416,7.8542,,S,,
279,3,0.0,female,14.0,0,0,350406,7.8542,,S,,
280,3,0.0,male,22.0,0,0,349252,7.8958,,S,,
281,3,1.0,male,22.0,0,0,345767,9.0,,S,,"Antwerp, Belgium / Stanton, OH"
282,3,0.0,male,,0,0,359309,8.05,,S,,
283,3,0.0,male,,0,0,C.A. 49867,7.55,,S,,
284,3,0.0,male,,0,0,SOTON/OQ 3101316,8.05,,S,,
285,3,0.0,male,32.5,0,0,345775,9.5,,S,,
286,3,1.0,female,38.0,0,0,2688,7.2292,,C,C,
287,3,0.0,male,51.0,0,0,347064,7.75,,S,,
288,3,0.0,male,18.0,1,0,3101267,6.4958,,S,,
289,3,0.0,male,21.0,1,0,3101266,6.4958,,S,,
290,3,0.0,female,47.0,1,0,363272,7.0,,S,,
291,3,0.0,male,,0,0,3410,8.7125,,S,,
292,3,0.0,male,,0,0,S.O./P.P. 751,7.55,,S,,
293,3,0.0,male,,0,0,A/5 2466,8.05,,S,,
294,3,0.0,male,28.5,0,0,54636,16.1,,S,,
295,3,0.0,male,21.0,0,0,SOTON/OQ 3101317,7.25,,S,,
296,3,0.0,male,27.0,0,0,315154,8.6625,,S,,
297,3,0.0,male,,0,0,A/4. 34244,7.25,,S,,
298,3,0.0,male,36.0,0,0,345771,9.5,,S,,
299,3,1.0,male,27.0,1,0,2659,14.4542,,C,C,
300,3,0.0,female,15.0,1,0,2659,14.4542,,C,,
301,3,0.0,male,45.5,0,0,2628,7.225,,C,,
302,3,0.0,male,,0,0,2647,7.225,,C,,
303,3,0.0,male,,0,0,2627,14.4583,,C,,
304,3,0.0,female,14.5,1,0,2665,14.4542,,C,,
305,3,0.0,female,,1,0,2665,14.4542,,C,,
306,3,0.0,male,26.5,0,0,2656,7.225,,C,,
307,3,0.0,male,27.0,0,0,2670,7.225,,C,,
308,3,0.0,male,29.0,0,0,315082,7.875,,S,,
